n           x1          x2     y
1   13.6201735   1.0616465  Pos
2   -0.5949999  -9.0306526 Neg
4   -5.5285807  -3.6345100 Neg
5   -5.8173927  -4.4644299 Neg
6    8.8767871  -4.0909462  Pos
11 -11.3264952 -15.6038005 Neg
12  10.5275645  -5.4445764  Pos
13  -7.1864680  -4.4556011 Neg
14 -19.6736168   0.7945969 Neg
15   6.6454601   7.2386545  Pos
16 -12.0713379 -16.8840199 Neg
17   1.2067697  15.6776096  Pos
18 -11.0055846  -1.5171061 Neg
20 -11.6586967   1.3378370 Pos
21   9.9676407   3.7064649  Pos
22   5.5533366  -5.5342849  Pos
23  12.4996964  -1.3660546  Pos
24   5.0713915  -2.6465115  Pos
25  -4.7203511 -16.2539417 Neg
26 -24.8191359   2.4473257 Neg
27   2.3459617  15.8346474  Pos
28   0.7167700  11.8675503  Pos
29   1.9368405   5.9536749  Pos
31  -2.5845352 -18.3147967 Neg
33 -10.6036999  -3.1758603 Neg
35  -8.3727663 -13.5504444 Neg
36  -1.9210523 -20.2899888 Neg
37   0.3725696  -5.8852945 Neg
38  -0.5420204  -7.8823304 Neg
39   4.2313790   1.5843290  Pos
40  -1.3034621  11.7849653  Pos
41   1.7342196   8.0199026  Pos
42   6.8309605  10.4617340  Pos
43  -6.9202265  10.5540644  Pos
44 -12.8724800 -17.5815060 Neg
45   9.2441357  -9.1312740  Pos
46  -6.6244211  -5.4579847 Neg
47   2.5083688 -17.8612289 Neg
48  16.4310169  13.7499314  Pos
49  11.8223124   0.8418148  Pos
50   7.6775821   9.0557373  Pos
51 -13 20 Pos
52 20 -18 Pos
53 -21 15.5 Neg
54 13 -23 Neg
