n         age    height label
1   13.761905 100.41904 FALSE
2   18.844251 168.63174  TRUE
3    6.408596 113.92897 FALSE
4   18.160978 140.99870  TRUE
5    4.073233  96.82159 FALSE
6   11.797114 126.71364  TRUE
7    9.579544  94.86022 FALSE
8   13.860770 141.55469  TRUE
9    6.930413 110.81028 FALSE
10   1.782373  61.43974 FALSE
11   9.655298 124.04881 FALSE
12  14.058243 128.39180  TRUE
13  10.503934 116.91941 FALSE
14   8.908530 102.31214 FALSE
15   7.749839  91.78601 FALSE
16   5.767412  86.15307 FALSE
17  14.663369 131.87191  TRUE
18  11.562461 114.30714 FALSE
19  18.917461 166.13409  TRUE
20  15.827956 137.96097  TRUE
21   2.617368  78.86807 FALSE
22  13.521560 147.51758  TRUE
23  17.988969 171.69743  TRUE
24   5.469228 111.96175 FALSE
25   5.959246 112.30008 FALSE
26  17.196591 174.84675  TRUE
27   3.858012  87.14340 FALSE
28  13.954670 136.96254  TRUE
29   2.314183  76.82441 FALSE
30   1.747731  71.64490 FALSE
31   2.496633  75.60324 FALSE
32  15.121071 132.94191  TRUE
33   6.225386 117.72683 FALSE
34  17.738208 160.97420  TRUE
35   5.182102  79.94706 FALSE
36   8.270307  90.45888 FALSE
37   9.174486 131.11735 FALSE
38  17.073944 156.67828  TRUE
39   7.369269 113.76238 FALSE
40  14.743649 128.46660  TRUE
41  13.739528 157.76030  TRUE
42  18.561895 172.98818  TRUE
43  11.154101 129.10324  TRUE
44   3.135080  88.57904 FALSE
45   9.212133 102.51467 FALSE
46  18.793083 164.35428  TRUE
47  13.785889 114.88951 FALSE
48  16.695765 132.32626  TRUE
49   5.380002 117.51116 FALSE
50   3.062236 105.36990 FALSE
51  12.609839 139.98811  TRUE
52  16.752968 167.95956  TRUE
53  11.213341 135.19907  TRUE
54  11.118368 121.17185  TRUE
55   6.433846  97.42493 FALSE
56   9.003186 109.76655 FALSE
57   7.645784  85.58801 FALSE
58   4.819124 106.09692 FALSE
59   9.702222 119.00024 FALSE
60   1.832711  86.62482 FALSE
61  18.331137 169.10505  TRUE
62  14.227083 143.80947  TRUE
63  12.528101 110.11896 FALSE
64  14.077755 142.53748  TRUE
65   6.038437 106.82478 FALSE
66  11.535264 121.52879  TRUE
67   4.832487  94.51056 FALSE
68   2.177215  83.72559 FALSE
69  14.870937 159.55613  TRUE
70   9.285717 141.72115 FALSE
71  10.118506 122.31841  TRUE
72  14.874199 155.89737  TRUE
73   4.366932  94.88248 FALSE
74  10.084550 108.29240 FALSE
75   5.151446  72.52507 FALSE
76   5.847510 105.22336 FALSE
77  18.445051 175.82957  TRUE
78  15.118086 155.90644  TRUE
79  13.488849 121.71239  TRUE
80  13.843008 146.90396  TRUE
81  17.566564 143.59353  TRUE
82   2.000409  95.47352 FALSE
83   5.545773 105.75080 FALSE
84   8.059119 118.03921 FALSE
85   7.275776 111.95535 FALSE
86   4.388060  98.36423 FALSE
87   1.366780  84.32064 FALSE
88  17.133998 162.19095  TRUE
89  14.177785 150.36455  TRUE
90  14.961575 141.64905  TRUE
91   6.864668 110.98674 FALSE
92   7.798721 109.52642 FALSE
93   3.392392  86.93828 FALSE
94  14.045829 164.84659  TRUE
95  11.308515 103.16400 FALSE
96  14.999866 153.07438  TRUE
97   7.889033 139.75307 FALSE
98   8.170208 108.07333 FALSE
99   5.713435  96.08372 FALSE
100  3.663047 107.36439 FALSE
101  9 111 TRUE
101  9.4 103 TRUE
101  10.1 102 FALSE
