n            x        y
1     1.467804 22.08764
2     2.543160 21.69492
3     2.836842 19.97348
4     3.948739 21.32276
5     5.837047 23.41774
6     5.938534 23.01514
7     7.010944 24.50937
8     7.405878 25.58146
9     8.538367 27.30613
10   11.190487 25.63396
11   11.477254 26.53367
12   12.147157 27.72151
13   12.661960 28.93355
14   13.514537 26.86231
15   15.817921 26.67242
16   16.012621 28.31190
17   16.692118 28.74667
18   16.774547 28.69149
19   17.631773 28.51491
20   19.594865 29.39731
21   21.410837 29.74360
22   23.006400 30.63372
23   23.132402 30.00852
24   23.194097 29.26886
25   24.043554 30.52874
26   27.001616 30.68222
27   27.454886 27.46379
28   27.626985 30.62923
29   28.779958 31.41792
30   30.640548 29.65841
31   30.748602 29.07155
32   32.500794 30.05906
33   33.767308 29.90053
34   34.314032 29.55312
35   34.386346 28.85737
36   35.168405 30.67978
37   35.476584 29.75657
38   37.758235 30.32574
39   39.156109 31.33237
40   39.935778 29.20008
41   41.479379 29.37838
42   41.828421 30.63322
43   41.922333 28.97061
44   44.119046 28.62321
45   44.189647 28.68034
46   45.787971 27.14332
47   46.339899 26.71764
48   48.480602 27.77653
49   48.633033 26.43647
50   50.553229 27.36355
51   50.916531 26.02183
52   51.804044 28.07956
53   53.152625 24.84870
54   55.040992 23.46747
55   55.075998 22.95438
56   55.336494 23.20897
57   57.002701 23.47443
58   59.555955 19.49292
59   60.119625 19.78369
60   61.083361 19.43252
61   61.308858 20.41129
62   62.770789 21.09977
63   63.326700 18.94486
64   64.456505 18.29987
65   64.936640 16.84188
66   65.374335 17.88930
67   67.088863 17.05784
68   70.001787 16.18935
69   70.387736 14.70718
70   70.419657 14.15693
71   70.540737 15.14805
72   70.734056 14.13955
73   72.698561 14.91905
74   72.728061 15.70680
75   75.212043 14.90741
76   75.862216 12.69133
77   76.320449 15.82954
78   77.911385 15.49562
79   78.008854 14.46026
80   79.892645 15.76580
81   80.482712 15.04835
82   81.526716 14.14348
83   82.400953 15.04628
84   84.296224 13.21508
85   84.834969 22.00000
86   86.925057 16.01554
87   87.632316 16.53085
88   88.537165 16.49126
89   89.305809 15.58104
90   90.077544 15.54352
91   91.341619 15.35365
92   92.011128 15.60118
93   92.098917 14.17953
94   94.205464 15.34198
95   95.874270 13.33020
96   95.950219 16.27970
97   96.829843 15.04303
98   98.658857 13.92912
99   98.903615 14.01500
100 100.690859 16.14767
